,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
14/04/2016,0,2,0,2,1,5,0,14,0,9,0,6,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,2
15/04/2016,0,0,0,4,0,9,0,16,0,10,0,10,0,2,0,3,0,1,0,3,0,3,0,2,1,1,0,2
16/04/2016,0,1,0,3,0,4,0,7,1,5,0,11,1,0,0,1,0,2,0,0,0,2,0,4,1,0,0,3
17/04/2016,0,4,0,1,0,5,0,6,0,4,0,9,0,0,0,2,0,6,0,5,0,0,0,0,0,1,0,3
18/04/2016,0,0,0,0,0,7,0,10,0,6,0,10,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0
19/04/2016,0,2,0,3,0,5,0,17,0,11,0,13,0,0,0,1,0,1,0,1,0,1,0,3,0,1,0,1
20/04/2016,0,1,0,2,2,8,0,17,0,8,0,11,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,1
21/04/2016,0,1,0,0,0,7,0,20,0,9,0,16,0,1,0,2,0,1,0,0,0,2,0,3,0,0,0,0
22/04/2016,0,0,0,2,0,5,0,15,0,8,0,9,0,0,0,1,0,1,0,3,0,2,0,4,0,2,0,2
23/04/2016,0,1,0,3,0,8,0,12,0,5,0,10,0,6,0,5,0,1,0,4,0,0,0,0,1,1,0,3
24/04/2016,0,3,0,5,1,6,0,7,0,6,0,9,0,2,0,3,0,1,0,0,0,4,0,6,0,1,0,4
25/04/2016,0,1,0,2,0,4,0,8,0,7,0,9,0,1,0,1,0,5,0,1,0,2,0,2,0,2,0,0
26/04/2016,0,0,0,2,1,4,0,14,0,5,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
27/04/2016,0,0,0,4,0,5,0,9,0,8,0,13,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0
28/04/2016,0,3,0,1,0,7,0,7,0,5,0,13,0,1,0,3,0,2,0,0,0,1,0,3,0,1,0,0
29/04/2016,0,1,0,2,0,14,0,18,1,8,0,13,0,1,0,2,2,0,0,2,0,4,0,3,1,0,0,3
30/04/2016,0,2,0,1,0,5,0,7,1,9,0,9,0,1,0,1,0,1,0,0,0,2,0,2,0,0,0,1
1/05/2016,0,0,0,2,0,7,0,4,0,11,0,4,0,0,0,0,0,0,0,4,0,1,0,1,0,2,0,5
2/05/2016,0,1,0,1,0,3,0,8,0,8,0,4,1,0,0,4,0,1,0,1,0,2,0,0,0,1,0,2
3/05/2016,0,1,0,4,0,1,0,5,1,11,0,9,0,2,0,2,0,1,0,2,0,3,0,2,0,0,0,2
4/05/2016,0,0,0,0,1,4,0,13,0,8,0,10,0,1,0,0,0,2,0,1,0,1,0,3,1,0,0,3
5/05/2016,0,0,0,4,0,9,0,14,0,13,0,11,0,0,0,3,0,1,0,1,0,1,0,3,0,0,0,0
6/05/2016,0,0,0,0,1,9,0,25,0,9,0,13,0,1,0,2,0,2,0,1,1,2,0,1,0,0,0,1
7/05/2016,0,1,0,4,2,6,0,14,0,11,0,15,0,3,0,2,0,1,0,2,0,1,0,3,0,1,0,4
8/05/2016,0,0,0,2,0,4,0,8,0,15,0,9,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,2
9/05/2016,0,0,0,3,0,4,0,12,0,7,0,9,0,2,0,1,1,3,0,3,0,1,0,1,0,0,0,5
10/05/2016,0,1,0,3,1,5,0,14,1,6,0,5,0,1,0,3,0,0,0,1,0,3,0,1,0,0,0,0
11/05/2016,0,1,0,2,0,6,0,8,0,5,0,14,0,2,0,1,0,0,0,1,0,5,0,1,0,1,0,2
12/05/2016,0,0,0,3,0,5,0,18,0,3,0,6,0,1,0,1,0,1,0,1,0,0,0,3,0,1,0,0
13/05/2016,0,0,0,2,0,5,0,15,1,6,0,16,0,3,0,0,0,1,0,1,1,4,0,4,0,0,0,3
14/05/2016,0,1,0,4,0,4,0,10,0,15,0,6,0,4,0,3,0,0,0,2,0,1,0,7,0,1,0,1
15/05/2016,0,3,0,2,0,3,0,9,1,5,0,4,0,3,0,2,0,1,0,2,0,2,0,4,0,1,0,4
16/05/2016,0,1,0,2,1,5,0,6,2,10,0,7,0,4,0,3,0,0,0,5,0,2,0,3,0,0,0,1
17/05/2016,0,1,0,1,1,7,0,10,0,3,0,11,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3
18/05/2016,0,2,0,2,0,7,0,17,1,10,0,9,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2
19/05/2016,0,1,0,2,0,7,0,11,0,10,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
20/05/2016,0,0,0,1,1,7,0,10,0,6,0,10,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1
21/05/2016,0,5,0,3,0,8,0,3,0,11,0,9,0,0,0,6,0,4,0,1,0,3,0,1,1,0,0,2
22/05/2016,0,0,0,1,0,4,0,8,0,6,0,7,1,0,0,6,0,3,0,0,1,2,0,1,0,2,0,1
23/05/2016,0,2,0,4,2,6,0,12,0,4,0,8,0,3,0,2,0,1,0,1,0,2,0,1,0,0,0,0
24/05/2016,0,0,0,0,1,5,0,8,1,2,0,9,0,0,0,3,0,1,0,3,0,0,0,1,0,2,0,1
25/05/2016,0,0,0,2,0,8,0,9,0,8,0,14,0,0,0,1,0,1,0,1,0,2,0,5,0,2,0,1
26/05/2016,0,2,0,4,0,6,0,14,0,7,0,10,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0
27/05/2016,0,1,0,0,0,5,0,11,0,3,0,11,0,4,0,2,0,1,0,3,0,2,0,2,0,0,0,1
28/05/2016,0,1,0,1,0,4,0,14,0,7,0,9,0,0,0,1,0,3,0,1,0,2,0,5,0,0,0,1
