date,datatype,station,attributes,value
2016-04-20T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.8
2016-04-20T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.4
2016-04-21T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-21T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.8
2016-04-21T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.4
2016-04-22T00:00:00,PRCP,GHCND:ASN00085279,",,a,",13
2016-04-22T00:00:00,TMAX,GHCND:ASN00085279,",,a,",15.9
2016-04-22T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.8
2016-04-23T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.6
2016-04-23T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18.9
2016-04-23T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.7
2016-04-24T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-24T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.9
2016-04-24T00:00:00,TMIN,GHCND:ASN00085279,",,a,",6.7
2016-04-25T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-04-25T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.4
2016-04-25T00:00:00,TMIN,GHCND:ASN00085279,",,a,",4.4
2016-04-26T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-26T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.5
2016-04-26T00:00:00,TMIN,GHCND:ASN00085279,",,a,",5.6
2016-04-27T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-27T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.7
2016-04-27T00:00:00,TMIN,GHCND:ASN00085279,",,a,",5.3
2016-04-28T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-28T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.5
2016-04-28T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.9
2016-04-29T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-29T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.9
2016-04-29T00:00:00,TMIN,GHCND:ASN00085279,",,a,",14.4
2016-04-30T00:00:00,PRCP,GHCND:ASN00085279,",,a,",1.4
2016-04-30T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.9
2016-04-30T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.5
2016-05-01T00:00:00,PRCP,GHCND:ASN00085279,",,a,",6.6
2016-05-01T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.5
